id,school,gender,method,study_hours,h1,h2,h3,a1,a2,a3,pretest,posttest,math
82,B,Nữ,Truyền thống,6.2,3,4,4,3,2,2,49.2,47.1,55.8
83,B,Nữ,Dự án,5.6,3,4,3,3,3,3,60.5,69.1,48.8
84,A,Nam,Truyền thống,1.9,1,1,2,3,2,2,70.1,72.0,38.1
85,A,Nam,Dự án,4.4,3,3,3,1,1,2,72.1,81.4,60.8
86,B,Nam,Truyền thống,5.8,4,4,3,4,4,4,40.8,54.8,49.3
87,B,Nữ,Dự án,5.1,5,3,4,4,5,3,63.5,64.9,49.6
88,B,Nữ,Truyền thống,8.3,4,5,3,3,3,3,73.4,83.2,56.4
89,B,Nam,Dự án,5.3,3,4,2,2,2,2,68.0,76.3,60.3
90,C,Nữ,Truyền thống,3.9,4,3,3,5,4,3,83.6,86.4,35.6
91,C,Nữ,Truyền thống,6.3,4,5,4,4,5,5,49.7,39.8,37.9
92,A,Nữ,Dự án,4.4,1,2,2,3,4,3,50.3,63.9,50.4
93,C,Nữ,Truyền thống,2.6,2,3,3,3,2,5,66.2,62.0,34.6
94,C,Nữ,Truyền thống,3.3,4,5,4,2,2,2,72.7,69.8,48.1
95,B,Nam,Dự án,4.8,3,4,4,4,1,3,49.4,55.5,49.3
96,B,Nữ,Dự án,1.8,4,4,3,3,3,3,60.5,66.3,40.8
97,B,Nam,Dự án,3.6,4,3,4,5,5,4,62.5,65.1,32.9
98,C,Nữ,Truyền thống,4.2,2,3,4,4,3,2,61.4,72.9,40.7
99,A,Nữ,Truyền thống,4.8,3,1,1,1,4,2,76.1,82.9,47.9
100,B,Nữ,Dự án,6.1,4,3,4,1,3,3,84.5,100.0,57.9
101,C,Nam,Dự án,1.9,4,4,3,2,2,2,51.0,54.4,45.8
102,A,Nam,Truyền thống,1.9,3,2,3,3,3,4,59.8,57.9,41.1
103,B,Nam,Truyền thống,3.0,3,2,3,2,2,2,44.4,59.0,32.1
104,B,Nam,Dự án,5.1,3,4,3,3,1,3,68.1,68.4,44.0
105,C,Nam,Truyền thống,4.0,2,3,3,4,3,3,45.3,49.9,47.9
106,A,Nữ,Dự án,1.5,2,1,3,3,3,3,64.3,70.4,40.7
107,B,Nam,Truyền thống,4.6,1,3,2,3,2,4,64.8,66.2,50.1
108,C,Nam,Dự án,8.1,4,5,4,2,1,2,70.9,70.3,71.5
109,B,Nam,Truyền thống,3.3,3,3,4,3,4,3,59.5,58.4,52.4
110,A,Nữ,Truyền thống,3.8,3,3,1,2,2,4,57.9,72.6,53.5
111,B,Nữ,Truyền thống,5.3,3,2,2,3,3,2,53.3,57.2,46.4
112,A,Nam,Truyền thống,7.2,3,3,4,3,3,3,73.2,85.2,65.7
113,B,Nam,Dự án,4.0,1,2,2,4,5,3,56.4,60.6,34.7
114,A,Nam,Dự án,5.0,2,4,3,4,4,4,63.6,72.4,50.4
115,A,Nam,Dự án,4.1,4,4,3,1,3,4,70.9,82.8,49.0
116,A,Nam,Dự án,7.5,3,4,4,3,2,3,76.5,88.3,58.6
117,A,Nam,Dự án,10.4,3,3,4,1,2,2,75.0,81.9,67.2
118,B,Nữ,Truyền thống,5.1,1,2,1,3,3,3,45.4,48.8,43.9
119,A,Nữ,Truyền thống,4.4,3,2,2,1,1,1,51.7,61.3,48.8
120,B,Nữ,Dự án,5.9,3,4,3,2,3,4,63.7,73.7,41.9
121,B,Nữ,Truyền thống,7.6,4,3,3,3,3,2,66.0,58.4,62.1
122,C,Nữ,Truyền thống,4.2,3,3,4,2,2,4,59.9,59.3,48.2
123,B,Nam,Truyền thống,1.1,2,2,2,3,3,4,73.6,70.0,37.8
124,A,Nam,Truyền thống,3.3,3,3,5,3,2,3,79.0,71.9,52.1
125,A,Nữ,Dự án,3.4,4,2,5,3,2,3,62.2,75.1,51.7
126,A,Nam,Dự án,4.0,4,3,3,4,3,4,64.9,79.4,43.9
127,B,Nữ,Truyền thống,11.7,3,2,3,3,3,3,71.3,69.7,58.2
128,C,Nữ,Dự án,7.0,4,4,4,3,3,3,66.0,72.1,42.1
129,B,Nam,Dự án,3.6,5,5,4,2,3,3,49.6,69.5,63.8
130,B,Nam,Truyền thống,2.7,4,2,3,3,3,3,46.5,48.6,35.3
131,C,Nam,Dự án,8.7,4,,3,3,3,4,38.7,46.2,64.2
132,B,Nam,Truyền thống,5.6,3,3,3,2,3,2,59.8,64.7,44.2
133,C,Nam,Dự án,2.2,1,3,2,2,3,1,50.8,66.7,30.4
134,C,Nữ,Truyền thống,3.0,4,2,4,3,2,1,49.9,56.0,50.2
135,A,Nữ,Dự án,10.7,3,4,3,3,4,4,47.0,61.5,71.1
136,B,Nam,Truyền thống,4.3,1,1,3,4,4,2,59.4,56.7,46.3
137,C,Nữ,Truyền thống,5.4,3,2,4,2,2,2,41.3,49.5,40.8
138,C,Nam,Dự án,4.5,4,3,3,3,2,3,44.8,52.4,51.8
139,A,Nam,Truyền thống,3.7,1,2,2,3,3,5,59.2,57.5,34.6
140,B,Nam,Dự án,3.1,4,4,4,5,3,3,64.7,76.1,47.6
141,B,Nam,Dự án,7.5,2,2,3,4,4,5,60.2,83.5,38.4
142,B,Nam,Dự án,8.6,3,3,3,2,4,3,66.9,76.3,68.7
143,A,Nữ,Dự án,8.0,3,3,3,4,2,3,62.2,76.5,61.2
144,B,Nữ,Truyền thống,6.1,3,4,4,4,3,2,55.5,57.0,56.0
145,C,Nữ,Truyền thống,6.8,3,3,2,4,4,3,53.5,47.3,45.1
146,A,Nữ,Truyền thống,10.4,3,4,3,3,4,4,53.6,60.0,56.6
147,A,Nam,Truyền thống,2.5,5,3,4,4,2,3,63.1,60.2,38.5
148,B,Nữ,Dự án,5.4,2,3,4,2,1,2,71.9,78.7,53.2
149,A,Nữ,Truyền thống,3.1,1,2,2,3,3,2,70.4,85.3,52.2
150,A,Nữ,Truyền thống,8.9,3,1,3,2,3,1,70.2,62.5,62.9
151,C,Nam,Truyền thống,4.2,2,2,2,3,3,3,60.6,65.9,34.4
152,A,Nam,Truyền thống,8.5,5,4,4,4,4,5,65.1,71.3,55.8
153,B,Nam,Dự án,1.4,2,2,2,3,3,3,60.8,70.8,32.5
154,A,Nam,Dự án,2.6,3,3,4,1,2,3,51.8,56.4,43.8
155,B,Nữ,Truyền thống,5.5,4,3,4,4,4,3,48.4,52.6,50.7
156,A,Nữ,Truyền thống,3.7,2,1,2,3,2,4,53.1,50.5,41.6
157,C,Nữ,Dự án,3.9,4,2,4,3,2,1,66.3,83.7,52.5
158,B,Nam,Truyền thống,2.6,3,3,2,3,4,4,53.4,57.5,40.1
159,A,Nam,Truyền thống,8.5,1,2,2,2,1,2,69.2,80.2,52.1
160,C,Nam,Truyền thống,8.5,3,3,2,2,3,2,45.2,46.6,53.7
161,B,Nam,Truyền thống,5.3,3,1,2,4,2,3,57.0,65.3,37.8
162,B,Nữ,Dự án,3.9,2,3,4,1,1,2,49.9,62.2,54.9
163,A,Nữ,Dự án,3.1,5,4,5,3,2,4,69.8,71.1,53.8
164,C,Nữ,Truyền thống,7.1,4,4,3,4,3,3,76.7,89.4,47.7
165,B,Nam,Dự án,2.8,5,3,3,4,3,1,47.2,71.6,34.6
166,A,Nam,Dự án,4.1,2,2,2,3,4,3,65.7,80.2,48.6
167,C,Nữ,Truyền thống,6.9,2,3,4,3,3,2,48.4,43.5,46.2
168,A,Nữ,Truyền thống,5.7,5,3,3,2,2,4,70.0,68.1,62.7
169,A,Nữ,Dự án,6.7,2,3,2,3,2,2,79.8,74.6,54.1
170,B,Nữ,Truyền thống,7.6,3,4,2,3,3,3,54.5,52.8,64.1
171,A,Nam,Dự án,5.3,3,1,2,3,3,4,73.0,91.8,50.1
172,A,Nữ,Truyền thống,3.7,4,4,5,3,2,2,61.7,71.1,46.6
173,B,Nam,Truyền thống,4.5,2,2,3,4,4,4,52.5,49.9,31.8
174,C,Nam,Dự án,5.9,2,2,3,3,3,3,53.0,53.6,47.7
175,C,Nữ,Dự án,2.9,3,4,3,2,4,3,68.8,73.1,41.7
176,A,Nam,Truyền thống,6.2,2,2,3,4,4,3,67.3,77.0,43.5
177,C,Nam,Dự án,3.9,4,4,4,2,2,3,56.2,67.3,36.0
178,A,Nữ,Dự án,4.2,2,4,2,3,5,1,61.3,78.4,39.3
179,C,Nam,Truyền thống,2.8,3,2,4,2,2,2,50.7,50.0,39.2
180,A,Nữ,Dự án,7.6,1,1,1,3,4,2,69.7,78.6,51.5
181,C,Nam,Truyền thống,4.7,4,4,3,5,4,5,79.0,77.9,46.3
182,C,Nam,Dự án,1.8,1,2,4,3,3,4,55.4,62.4,25.9
183,C,Nữ,Truyền thống,1.4,1,3,2,3,4,4,46.5,47.8,34.6
184,C,Nữ,Truyền thống,4.2,3,4,3,3,4,4,61.0,62.4,41.0
185,A,Nam,Dự án,4.3,3,3,2,1,1,1,68.5,80.2,65.7
186,B,Nam,Truyền thống,2.4,5,4,4,1,1,1,71.1,71.4,47.0
187,C,Nữ,Truyền thống,4.5,3,3,4,1,2,3,44.7,47.0,44.8
188,A,Nữ,Dự án,3.9,3,3,4,1,3,3,66.1,68.9,54.5
189,B,Nữ,Truyền thống,2.6,4,4,3,3,4,3,51.4,61.8,44.9
190,A,Nữ,Truyền thống,0.8,2,3,3,2,2,3,77.1,90.6,42.2
191,A,Nữ,Truyền thống,3.1,4,4,5,1,3,3,70.8,85.7,43.7
192,B,Nam,Truyền thống,4.9,2,3,4,3,2,2,58.1,66.2,58.4
193,B,Nữ,Dự án,4.8,3,4,5,2,1,1,47.7,55.7,53.9
194,B,Nữ,Dự án,8.4,3,3,1,4,5,5,79.5,82.1,38.4
195,B,Nữ,Dự án,7.9,1,2,1,4,5,5,58.6,60.5,35.7
196,B,Nam,Dự án,5.3,2,1,3,5,4,3,69.3,77.0,47.9
197,C,Nữ,Dự án,7.1,3,2,3,3,3,4,37.5,38.3,57.3
198,A,Nữ,Truyền thống,10.2,2,3,2,2,2,3,64.4,72.2,62.3
199,A,Nữ,Dự án,3.3,2,3,2,5,5,5,71.0,80.7,32.0
200,B,Nữ,Truyền thống,3.0,3,3,4,3,2,3,38.0,33.2,43.9
201,C,Nam,Dự án,8.0,4,3,4,3,5,3,59.9,66.8,43.7
202,B,Nữ,Dự án,6.8,5,4,4,2,4,3,73.1,86.4,57.1
203,A,Nam,Truyền thống,7.8,3,3,3,3,3,3,48.0,58.2,60.5
204,C,Nữ,Dự án,4.9,5,2,4,3,3,3,55.7,65.3,47.4
205,C,Nữ,Dự án,6.9,2,2,2,3,4,4,53.5,65.6,46.4
206,C,Nam,Dự án,9.5,3,2,4,2,4,2,50.6,60.8,52.5
207,A,Nam,Truyền thống,2.6,2,3,3,1,1,2,56.7,57.3,55.1
208,A,Nữ,Dự án,6.3,3,2,3,3,2,3,53.9,63.1,44.4
209,C,Nam,Truyền thống,12.7,2,3,2,3,1,3,49.2,53.3,59.8
210,C,Nữ,Truyền thống,7.8,4,3,4,4,2,4,56.4,56.2,58.8
211,A,Nữ,Dự án,4.9,2,2,2,3,3,2,63.8,73.6,47.7
212,B,Nữ,Truyền thống,3.0,3,4,4,3,2,3,46.4,49.6,56.8
213,A,Nữ,Truyền thống,9.0,3,3,3,2,4,3,56.9,62.5,63.9
214,B,Nữ,Truyền thống,5.9,3,2,3,2,2,2,61.0,64.4,60.1
215,A,Nữ,Truyền thống,1.3,3,4,2,4,3,4,75.2,78.5,48.8
216,A,Nam,Dự án,3.6,3,4,3,3,4,3,75.3,72.9,43.1
217,A,Nữ,Dự án,7.5,2,2,4,5,5,5,62.7,85.1,53.6
218,C,Nam,Truyền thống,3.2,4,3,3,2,2,1,58.2,65.9,42.5
219,B,Nữ,Truyền thống,7.4,3,3,1,3,2,3,45.6,51.6,46.5
220,A,Nữ,Truyền thống,2.6,2,2,3,3,1,3,63.8,77.7,43.6
221,B,Nữ,Dự án,5.0,4,2,2,2,2,2,40.9,55.2,58.6
222,B,Nam,Truyền thống,6.0,3,2,1,1,2,3,56.1,62.3,58.3
223,B,Nữ,Truyền thống,1.3,1,3,1,1,1,1,46.7,54.0,33.2
224,B,Nữ,Dự án,5.6,4,2,1,3,4,4,52.3,70.6,44.7
225,B,Nam,Dự án,1.3,2,2,4,3,3,3,61.4,71.4,37.8
226,A,Nam,Truyền thống,5.2,4,3,3,3,3,2,65.1,60.4,51.3
227,B,Nữ,Dự án,7.8,2,2,2,3,2,2,72.7,72.1,58.0
228,C,Nam,Dự án,3.3,3,2,2,1,2,2,59.2,75.8,42.0
229,B,Nam,Dự án,5.3,3,3,3,2,4,3,54.8,62.0,51.9
230,C,Nam,Truyền thống,4.1,3,2,2,4,3,3,63.4,70.0,41.4
231,A,Nam,Dự án,6.7,3,3,3,3,2,2,46.1,54.0,68.4
232,A,Nữ,Dự án,6.1,2,2,1,4,4,5,79.9,91.0,48.7
233,C,Nữ,Truyền thống,7.9,4,3,3,2,3,2,35.3,33.6,60.7
234,B,Nam,Dự án,5.7,3,4,3,3,2,2,66.6,77.8,60.9
235,B,Nam,Dự án,3.3,2,2,3,5,3,4,65.4,60.2,30.0
236,B,Nam,Dự án,3.1,4,3,4,3,4,5,54.0,60.7,56.0
237,A,Nam,Dự án,1.1,3,4,4,1,1,1,58.4,58.7,51.5
238,B,Nam,Truyền thống,3.8,3,4,2,4,3,2,44.9,48.3,37.1
239,B,Nam,Truyền thống,4.4,3,3,3,3,2,2,61.0,64.9,49.6
240,B,Nữ,Dự án,4.8,3,3,2,2,3,2,65.3,72.7,52.8
